year,month,state,customers,price,revenue,sales
2001,2,Wisconsin,,5.98,312.62219,5229.47437
2001,2,Wyoming,,4.36,49.14779,1127.51736
2001,2,New England,,10.53,1005.89535,9549.54091
2001,2,Florida,,7.48,1142.11912,15263.2687
2001,2,Georgia,,6.2,552.6411,8917.24627
2001,2,Hawaii,,14.42,104.26144,723.2767
2001,2,Idaho,,4.5,78.48276,1742.99136
2001,2,Illinois,,6.17,720.75564,11675.16176
2001,2,Indiana,,5.08,407.72353,8026.88032
2001,2,Iowa,,5.8,180.05191,3103.53493
2001,2,Kansas,,5.93,155.57558,2624.16326
2001,2,Kentucky,,4.25,267.32728,6297.32889
2001,2,Louisiana,,7.92,459.31206,5800.99983
2001,2,Middle Atlantic,,9.22,2724.05045,29531.17285
2001,2,East North Central,,6.14,2830.72392,46091.16967
2001,2,Pacific Contiguous,,7.76,2410.92664,31081.69509
2001,2,Pacific Noncontiguous,,12.61,152.46132,1209.37324
2001,2,U.S. Total,,6.87,18700.12259,272334.73804
2001,2,Maine,,11.05,111.40775,1008.54079
2001,2,Maryland,,6.07,300.66218,4954.31404
2001,3,Colorado,,5.66,199.05662,3519.88616
2001,3,Connecticut,,9.38,241.76304,2577.05373
2001,3,Delaware,,6.31,60.90191,965.76469
2001,3,District of Columbia,,6.33,58.5044,924.84423
2001,3,Florida,,7.51,1080.46756,14382.78158
2001,3,Georgia,,6.1,540.37898,8861.91977
2001,3,Hawaii,,14.23,113.73662,799.10958
2001,3,Louisiana,,8.47,458.14973,5408.22202
2001,3,Maine,,10.78,108.81572,1009.24338
2001,3,Maryland,,5.92,317.71509,5366.98115
2001,3,Massachusetts,,11.15,501.36246,4494.76403
2001,3,Alabama,,5.87,345.77802,5894.61038
2001,3,Alaska,,10.91,48.43955,443.79575
2001,3,Arizona,,6.57,286.65051,4362.10349
2001,3,Idaho,,4.39,73.63194,1675.38789
2001,3,Illinois,,6.47,692.81066,10708.72933
2001,3,Indiana,,5.23,410.06875,7847.24293
2001,3,Iowa,,5.82,177.8836,3056.67668
2001,3,Kansas,,6.12,163.93672,2677.16192
2001,3,Kentucky,,4.03,276.51146,6861.18946
2001,3,Michigan,,6.98,591.1693,8468.3561
2001,3,Minnesota,,5.69,274.59615,4829.95445
2001,3,Arkansas,,5.73,173.61366,3031.50981
2001,3,California,,9.89,2111.17634,21351.40877
2001,3,Wisconsin,,5.93,317.8719,5364.42631
2001,3,Wyoming,,4.34,47.80066,1101.55813
2001,3,New England,,10.72,1078.78018,10066.70577
2001,3,Middle Atlantic,,9.32,2713.33551,29121.89702
2001,3,East North Central,,6.24,2859.86786,45866.83491
2001,3,West North Central,,5.64,1110.18491,19682.58541
2001,3,South Atlantic,,6.42,3580.45189,55791.69666
2001,3,East South Central,,5.21,1216.12021,23332.60135
2001,3,West South Central,,7.06,2423.58491,34328.34237
2001,3,Mountain,,5.98,1010.07526,16896.86115
2001,3,Pacific Contiguous,,8.27,2725.65726,32967.97147
2001,3,Pacific Noncontiguous,,13.05,162.17616,1242.90533
2001,3,U.S. Total,,7.01,18880.23415,269298.40142
2001,3,Mississippi,,5.93,188.24877,3172.76842
2001,3,Missouri,,5.47,309.50471,5657.21603
2001,3,Montana,,6.64,65.86107,991.82704
2001,3,Nebraska,,5.08,96.59129,1902.61849
2001,3,Nevada,,7.46,146.0327,1957.7433
2001,3,New Hampshire,,11.53,100.92186,875.04431
2001,3,New Jersey,,8.97,523.90183,5840.65561
2001,3,New Mexico,,6.91,101.54268,1468.64775
2001,3,New York,,11.01,1298.68107,11790.13848
2001,3,North Carolina,,6.44,592.44248,9195.66857
2001,3,North Dakota,,5.22,44.20077,846.94603
